source_row_id,record_id,chemical_key,facility_id,location_status,coordinate_status,rejection_reason,has_cbi_location,has_cbi_volume
696,cdr:696,CASRN:7439954,REDACTED_RECORD:696,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
754,cdr:754,CASRN:61788656,REDACTED_RECORD:754,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
833,cdr:833,CASRN:98566,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
834,cdr:834,CASRN:123308,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
835,cdr:835,CASRN:6153566,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
836,cdr:836,CASRN:2943751,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
837,cdr:837,CASRN:629594,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
838,cdr:838,CASRN:2687947,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
839,cdr:839,CASRN:872504,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
840,cdr:840,CASRN:75525,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
841,cdr:841,CASRN:544763,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
847,cdr:847,CASRN:65996716,REDACTED_RECORD:847,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
848,cdr:848,CASRN:65996727,REDACTED_RECORD:848,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
849,cdr:849,CASRN:65996716,REDACTED_RECORD:849,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
850,cdr:850,CASRN:1309484,REDACTED_RECORD:850,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
921,cdr:921,CASRN:106149,SRC:a12fa063332403a12e1a77a7,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,1
922,cdr:922,CASRN:75058,SRC:a2e9bbbf40092fb3ab773386,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
948,cdr:948,CASRN:1103384,REDACTED_RECORD:948,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
949,cdr:949,CASRN:7585413,REDACTED_RECORD:949,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
950,cdr:950,CASRN:7585413,REDACTED_RECORD:950,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
951,cdr:951,CASRN:7023612,REDACTED_RECORD:951,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
952,cdr:952,CASRN:7023612,REDACTED_RECORD:952,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
953,cdr:953,CASRN:67990050,REDACTED_RECORD:953,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
